warrior_level,weapon,bomb,opponent,trial,outcome,turns,bombs_thrown,bombs_hit,bomb_damage_total,melee_swings,warrior_hp_remaining,warrior_max_hp,opponents_alive,opponents_total
1,SWORD,BLAST_BOMB,LARGE_MASK_IMP,2,win,8,3,3,42,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,LOATHESOME_BUG,0,win,7,3,3,44,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,LOATHESOME_BUG,1,win,6,2,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,LOATHESOME_BUG,2,win,9,3,3,34,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MANEGARM,0,win,10,9,12,163,0,17.00,25.00,0,3
1,SWORD,BLAST_BOMB,MANEGARM,1,win,7,6,9,143,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MANEGARM,2,win,8,7,9,141,0,21.00,25.00,0,3
1,SWORD,BLAST_BOMB,MASK_IMP,0,win,7,2,3,60,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MASK_IMP,1,win,7,2,3,50,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MASK_IMP,2,win,6,3,3,54,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MOUSE,0,win,3,1,3,33,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MOUSE,1,win,3,1,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,MOUSE,2,win,4,2,3,45,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_HALBERDIER,0,win,8,6,7,114,0,21.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_HALBERDIER,1,win,11,8,8,134,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_HALBERDIER,2,win,9,7,8,132,0,20.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_PRESIDENT,0,win,30,10,12,157,3,1.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_PRESIDENT,1,win,12,8,10,158,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_PRESIDENT,2,win,10,7,10,172,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_SNIPER,0,win,7,5,7,94,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_SNIPER,1,win,6,4,6,96,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,ORC_SNIPER,2,win,8,6,8,114,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,PALUG,0,win,8,7,9,156,0,21.00,25.00,0,3
1,SWORD,BLAST_BOMB,PALUG,1,win,10,8,11,176,0,15.00,25.00,0,3
1,SWORD,BLAST_BOMB,PALUG,2,win,10,9,11,180,0,10.00,25.00,0,3
1,SWORD,BLAST_BOMB,RAT,0,win,5,2,3,53,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,RAT,1,win,6,3,3,46,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,RAT,2,win,6,2,3,43,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,RED_ANT,0,win,8,3,3,56,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,RED_ANT,1,win,6,3,5,68,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,RED_ANT,2,win,6,2,3,34,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,SOLDIER_BUG,0,win,6,4,4,64,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,SOLDIER_BUG,1,win,8,3,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,SOLDIER_BUG,2,win,5,2,3,57,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,SPIDER,0,win,4,2,3,30,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,SPIDER,1,win,4,2,3,38,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,SPIDER,2,win,5,3,3,46,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_BAT,0,win,4,2,3,50,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_BAT,1,win,4,3,3,44,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_BAT,2,win,8,3,3,46,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_BUG_PRODIGY,0,win,11,6,7,108,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_BUG_PRODIGY,1,win,9,5,6,102,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_BUG_PRODIGY,2,win,11,6,7,121,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_DEVELOPED_MASK_IMP,0,win,8,6,7,103,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_DEVELOPED_MASK_IMP,1,win,7,5,6,101,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_DEVELOPED_MASK_IMP,2,win,7,5,6,91,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_GHOST,0,win,5,4,5,77,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_GHOST,1,win,5,4,6,101,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_GHOST,2,win,5,3,4,67,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_HORRIBLE_MASK_IMP,0,win,9,7,9,141,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_HORRIBLE_MASK_IMP,1,win,11,9,9,142,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_HORRIBLE_MASK_IMP,2,win,8,6,8,108,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_CLEAVER,0,loss,15,9,9,114,0,0.00,25.00,1,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_CLEAVER,1,win,9,7,8,123,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_CLEAVER,2,win,10,8,9,136,0,21.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_FIGHTER,0,win,10,6,6,99,0,21.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_FIGHTER,1,win,7,5,6,96,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_FIGHTER,2,win,8,7,8,116,0,24.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_GENERAL,0,win,8,7,10,154,0,19.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_GENERAL,1,win,11,9,12,174,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_GENERAL,2,loss,21,10,13,184,3,0.00,25.00,2,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_SPEARMAN,0,win,9,5,6,97,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_SPEARMAN,1,win,5,4,6,92,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_KOBOLD_SPEARMAN,2,win,9,6,6,96,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_LARGE_MASK_IMP,0,win,4,3,4,68,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_LARGE_MASK_IMP,1,win,5,3,5,66,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_LARGE_MASK_IMP,2,win,5,2,3,49,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_LOATHESOME_BUG,0,win,6,3,3,38,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_LOATHESOME_BUG,1,win,6,2,3,39,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_LOATHESOME_BUG,2,win,7,3,3,47,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_MASK_IMP,0,win,6,3,3,54,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_MASK_IMP,1,win,6,3,5,58,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_MASK_IMP,2,win,7,5,5,68,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_RAT,0,win,9,5,5,68,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_RAT,1,win,5,3,4,52,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_RAT,2,win,4,2,3,52,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_SOLDIER_BUG,0,win,9,6,7,93,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_SOLDIER_BUG,1,win,5,3,4,66,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_SOLDIER_BUG,2,win,7,5,6,86,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_SPIDER,0,win,9,3,3,48,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_SPIDER,1,win,8,2,3,56,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,UNIQUE_SPIDER,2,win,8,2,3,51,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,WOLF,0,win,9,6,6,91,0,25.00,25.00,0,3
1,SWORD,BLAST_BOMB,WOLF,1,win,6,5,6,89,0,24.00,25.00,0,3
1,SWORD,BLAST_BOMB,WOLF,2,win,7,6,7,102,0,22.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BARBARIAN_PRINCESS,0,win,12,10,12,92,0,5.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BARBARIAN_PRINCESS,1,win,10,8,12,85,0,23.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BARBARIAN_PRINCESS,2,loss,13,9,11,82,0,0.00,25.00,1,3
1,SWORD,CHERRY_BOMB,BAT,0,win,4,2,3,28,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BAT,1,win,6,2,3,22,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BAT,2,win,6,3,3,28,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLACK_ANT,0,win,8,6,6,49,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLACK_ANT,1,win,6,4,6,50,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLACK_ANT,2,win,7,5,6,50,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLAZING_FIREMOUSE,0,win,8,2,3,22,0,1.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLAZING_FIREMOUSE,1,win,4,2,3,20,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLAZING_FIREMOUSE,2,loss,9,2,2,12,0,0.00,25.00,1,3
1,SWORD,CHERRY_BOMB,BLOB,0,win,20,10,11,95,3,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLOB,1,win,25,10,10,75,4,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BLOB,2,win,41,10,10,71,5,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BUG_PRODIGY,0,win,12,8,9,67,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BUG_PRODIGY,1,win,12,8,9,70,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,BUG_PRODIGY,2,win,15,10,10,71,0,23.00,25.00,0,3
1,SWORD,CHERRY_BOMB,CAT,0,win,6,5,6,46,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,CAT,1,win,7,6,7,50,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,CAT,2,win,8,6,6,44,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,CAT_PB,0,loss,9,7,7,49,0,0.00,25.00,3,3
1,SWORD,CHERRY_BOMB,CAT_PB,1,loss,19,10,16,105,1,0.00,25.00,1,3
1,SWORD,CHERRY_BOMB,CAT_PB,2,loss,9,7,7,51,0,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,DEVELOPED_MASK_IMP,0,win,7,5,6,41,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,DEVELOPED_MASK_IMP,1,win,8,6,7,49,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,DEVELOPED_MASK_IMP,2,win,8,6,7,51,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,DOG,0,win,11,9,10,74,1,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,DOG,1,win,8,7,11,93,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,DOG,2,win,10,9,10,88,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,GHOST,0,win,10,5,7,54,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,GHOST,1,win,10,5,7,52,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,GHOST,2,win,10,5,7,45,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,HORRIBLE_MASK_IMP,0,win,19,10,11,83,1,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,HORRIBLE_MASK_IMP,1,win,16,10,10,81,1,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,HORRIBLE_MASK_IMP,2,win,15,10,11,86,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,HORROR,0,loss,21,10,14,97,6,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,HORROR,1,win,12,10,14,126,0,18.00,25.00,0,3
1,SWORD,CHERRY_BOMB,HORROR,2,win,20,10,14,107,5,5.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KISSYBLOB,0,win,26,10,12,80,6,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KISSYBLOB,1,win,26,10,11,80,3,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KISSYBLOB,2,win,31,10,13,92,7,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KITTEN,0,win,7,2,3,22,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KITTEN,1,win,5,3,3,25,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KITTEN,2,win,4,3,3,20,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_CLEAVER,0,win,14,10,10,73,2,17.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_CLEAVER,1,win,18,10,10,80,2,20.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_CLEAVER,2,win,11,8,11,94,0,22.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_FIGHTER,0,win,12,9,9,74,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_FIGHTER,1,win,11,8,9,67,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_FIGHTER,2,win,10,8,9,74,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_GENERAL,0,loss,43,10,12,91,14,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,KOBOLD_GENERAL,1,win,28,10,13,84,9,14.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_GENERAL,2,loss,21,10,13,99,5,0.00,25.00,3,3
1,SWORD,CHERRY_BOMB,KOBOLD_SPEARMAN,0,win,13,8,8,58,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_SPEARMAN,1,win,7,4,6,54,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,KOBOLD_SPEARMAN,2,win,7,5,6,48,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,LARGE_MASK_IMP,0,win,7,5,5,38,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,LARGE_MASK_IMP,1,win,8,6,6,46,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,LARGE_MASK_IMP,2,win,7,5,6,42,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,LOATHESOME_BUG,0,win,5,2,3,27,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,LOATHESOME_BUG,1,win,5,3,3,17,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,LOATHESOME_BUG,2,win,5,2,3,15,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,MANEGARM,0,loss,10,8,11,77,0,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,MANEGARM,1,loss,11,8,11,83,1,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,MANEGARM,2,loss,7,5,8,71,0,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,MASK_IMP,0,win,9,4,4,29,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,MASK_IMP,1,win,9,3,3,26,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,MASK_IMP,2,win,5,2,3,28,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,MOUSE,0,win,8,3,3,25,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,MOUSE,1,win,4,2,3,17,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,MOUSE,2,win,8,3,3,25,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,ORC_HALBERDIER,0,loss,14,10,11,87,0,0.00,25.00,1,3
1,SWORD,CHERRY_BOMB,ORC_HALBERDIER,1,win,14,10,15,107,0,11.00,25.00,0,3
1,SWORD,CHERRY_BOMB,ORC_HALBERDIER,2,win,14,9,12,101,1,14.00,25.00,0,3
1,SWORD,CHERRY_BOMB,ORC_PRESIDENT,0,loss,27,10,13,97,3,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,ORC_PRESIDENT,1,loss,25,10,12,90,3,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,ORC_PRESIDENT,2,draw,200,10,12,95,4,8.00,25.00,2,3
1,SWORD,CHERRY_BOMB,ORC_SNIPER,0,win,13,10,12,100,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,ORC_SNIPER,1,win,13,10,12,97,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,ORC_SNIPER,2,win,24,10,11,77,2,15.00,25.00,0,3
1,SWORD,CHERRY_BOMB,PALUG,0,win,14,9,15,111,2,1.00,25.00,0,3
1,SWORD,CHERRY_BOMB,PALUG,1,loss,15,10,13,102,2,0.00,25.00,2,3
1,SWORD,CHERRY_BOMB,PALUG,2,win,12,10,21,159,0,5.00,25.00,0,3
1,SWORD,CHERRY_BOMB,RAT,0,win,5,3,4,33,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,RAT,1,win,13,6,6,44,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,RAT,2,win,7,4,4,31,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,RED_ANT,0,win,6,4,6,52,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,RED_ANT,1,win,11,6,6,45,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,RED_ANT,2,win,10,6,6,48,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,SOLDIER_BUG,0,win,9,6,6,49,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,SOLDIER_BUG,1,win,8,5,7,62,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,SOLDIER_BUG,2,win,9,6,7,56,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,SPIDER,0,win,6,4,5,28,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,SPIDER,1,win,7,3,3,26,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,SPIDER,2,win,4,2,3,23,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_BAT,0,win,8,5,6,39,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_BAT,1,win,5,4,5,37,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_BAT,2,win,8,5,6,40,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_BUG_PRODIGY,0,loss,33,10,11,77,6,0.00,25.00,1,3
1,SWORD,CHERRY_BOMB,UNIQUE_BUG_PRODIGY,1,win,12,10,12,95,1,20.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_BUG_PRODIGY,2,win,28,10,10,70,6,6.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_DEVELOPED_MASK_IMP,0,win,24,10,10,74,1,20.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_DEVELOPED_MASK_IMP,1,win,21,10,10,60,1,21.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_DEVELOPED_MASK_IMP,2,win,12,10,12,90,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_GHOST,0,win,8,7,10,83,0,22.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_GHOST,1,win,7,6,9,68,0,25.00,25.00,0,3
1,SWORD,CHERRY_BOMB,UNIQUE_GHOST,2,win,9,8,11,78,0,14.00,25.00,0,3
