fighter_a,fighter_b,char_level,trial,outcome,turns,a_hp,a_max_hp,b_hp,b_max_hp
BARBARIAN_PRINCESS,BLOB,1,4,a_win,14,23.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,BUG_PRODIGY,1,0,a_win,15,11.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,BUG_PRODIGY,1,1,a_win,13,16.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,BUG_PRODIGY,1,2,a_win,12,15.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,BUG_PRODIGY,1,3,b_win,17,0.00,27.00,2.00,21.00
BARBARIAN_PRINCESS,BUG_PRODIGY,1,4,a_win,11,25.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,CAT,1,0,a_win,5,27.00,27.00,0.00,12.00
BARBARIAN_PRINCESS,CAT,1,1,a_win,5,27.00,27.00,0.00,12.00
BARBARIAN_PRINCESS,CAT,1,2,a_win,4,27.00,27.00,0.00,12.00
BARBARIAN_PRINCESS,CAT,1,3,a_win,9,26.00,27.00,0.00,12.00
BARBARIAN_PRINCESS,CAT,1,4,a_win,4,27.00,27.00,0.00,12.00
BARBARIAN_PRINCESS,CAT_PB,1,0,b_win,9,0.00,27.00,24.20,48.00
BARBARIAN_PRINCESS,CAT_PB,1,1,b_win,11,0.00,27.00,17.40,48.00
BARBARIAN_PRINCESS,CAT_PB,1,2,b_win,10,0.00,27.00,37.40,48.00
BARBARIAN_PRINCESS,CAT_PB,1,3,a_win,15,12.00,27.00,0.00,48.00
BARBARIAN_PRINCESS,CAT_PB,1,4,b_win,14,0.00,27.00,20.80,48.00
BARBARIAN_PRINCESS,DEVELOPED_MASK_IMP,1,0,a_win,10,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,DEVELOPED_MASK_IMP,1,1,a_win,8,23.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,DEVELOPED_MASK_IMP,1,2,a_win,9,25.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,DEVELOPED_MASK_IMP,1,3,a_win,10,26.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,DEVELOPED_MASK_IMP,1,4,a_win,8,26.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,DOG,1,0,a_win,10,23.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,DOG,1,1,a_win,6,23.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,DOG,1,2,a_win,7,21.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,DOG,1,3,a_win,15,23.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,DOG,1,4,a_win,6,23.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,GHOST,1,0,a_win,16,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,GHOST,1,1,a_win,18,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,GHOST,1,2,a_win,19,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,GHOST,1,3,a_win,10,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,GHOST,1,4,a_win,14,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,HORRIBLE_MASK_IMP,1,0,b_win,19,0.00,27.00,3.00,27.00
BARBARIAN_PRINCESS,HORRIBLE_MASK_IMP,1,1,a_win,14,17.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,HORRIBLE_MASK_IMP,1,2,a_win,15,1.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,HORRIBLE_MASK_IMP,1,3,a_win,11,23.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,HORRIBLE_MASK_IMP,1,4,a_win,14,13.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,HORROR,1,0,a_win,12,9.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,HORROR,1,1,a_win,12,3.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,HORROR,1,2,b_win,9,0.00,27.00,5.50,42.00
BARBARIAN_PRINCESS,HORROR,1,3,a_win,12,21.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,HORROR,1,4,b_win,11,0.00,27.00,14.50,42.00
BARBARIAN_PRINCESS,KISSYBLOB,1,0,a_win,13,5.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,KISSYBLOB,1,1,a_win,14,17.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,KISSYBLOB,1,2,a_win,16,13.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,KISSYBLOB,1,3,a_win,15,7.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,KISSYBLOB,1,4,a_win,13,20.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,KITTEN,1,0,a_win,7,26.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,KITTEN,1,1,a_win,5,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,KITTEN,1,2,a_win,4,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,KITTEN,1,3,a_win,3,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,KITTEN,1,4,a_win,6,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,KOBOLD_CLEAVER,1,0,a_win,13,5.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,KOBOLD_CLEAVER,1,1,b_win,11,0.00,27.00,22.00,27.00
BARBARIAN_PRINCESS,KOBOLD_CLEAVER,1,2,a_win,12,2.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,KOBOLD_CLEAVER,1,3,b_win,9,0.00,27.00,19.00,27.00
BARBARIAN_PRINCESS,KOBOLD_CLEAVER,1,4,a_win,11,15.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,KOBOLD_FIGHTER,1,0,a_win,10,20.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,KOBOLD_FIGHTER,1,1,a_win,8,23.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,KOBOLD_FIGHTER,1,2,a_win,8,19.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,KOBOLD_FIGHTER,1,3,a_win,8,22.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,KOBOLD_FIGHTER,1,4,a_win,10,20.00,27.00,0.00,21.00
BARBARIAN_PRINCESS,KOBOLD_GENERAL,1,0,a_win,10,22.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,KOBOLD_GENERAL,1,1,a_win,12,15.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,KOBOLD_GENERAL,1,2,a_win,9,21.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,KOBOLD_GENERAL,1,3,a_win,7,21.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,KOBOLD_GENERAL,1,4,a_win,12,17.00,27.00,0.00,24.00
BARBARIAN_PRINCESS,KOBOLD_SPEARMAN,1,0,a_win,9,22.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,KOBOLD_SPEARMAN,1,1,a_win,8,26.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,KOBOLD_SPEARMAN,1,2,a_win,6,26.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,KOBOLD_SPEARMAN,1,3,a_win,9,22.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,KOBOLD_SPEARMAN,1,4,a_win,7,23.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,LARGE_MASK_IMP,1,0,a_win,6,27.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,LARGE_MASK_IMP,1,1,a_win,7,27.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,LARGE_MASK_IMP,1,2,a_win,8,25.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,LARGE_MASK_IMP,1,3,a_win,7,27.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,LARGE_MASK_IMP,1,4,a_win,6,27.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,LOATHESOME_BUG,1,0,a_win,7,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,LOATHESOME_BUG,1,1,a_win,8,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,LOATHESOME_BUG,1,2,a_win,5,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,LOATHESOME_BUG,1,3,a_win,5,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,LOATHESOME_BUG,1,4,a_win,7,27.00,27.00,0.00,5.00
BARBARIAN_PRINCESS,MANEGARM,1,0,a_win,11,2.00,27.00,0.00,42.00
BARBARIAN_PRINCESS,MANEGARM,1,1,b_win,11,0.00,27.00,6.00,42.00
BARBARIAN_PRINCESS,MANEGARM,1,2,b_win,8,0.00,27.00,33.50,42.00
BARBARIAN_PRINCESS,MANEGARM,1,3,b_win,10,0.00,27.00,27.50,42.00
BARBARIAN_PRINCESS,MANEGARM,1,4,b_win,6,0.00,27.00,35.00,42.00
BARBARIAN_PRINCESS,MASK_IMP,1,0,a_win,6,26.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,MASK_IMP,1,1,a_win,7,27.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,MASK_IMP,1,2,a_win,6,27.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,MASK_IMP,1,3,a_win,7,27.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,MASK_IMP,1,4,a_win,8,26.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,MOUSE,1,0,a_win,4,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,MOUSE,1,1,a_win,4,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,MOUSE,1,2,a_win,10,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,MOUSE,1,3,a_win,4,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,MOUSE,1,4,a_win,4,27.00,27.00,0.00,2.00
BARBARIAN_PRINCESS,ORC_HALBERDIER,1,0,a_win,12,2.00,27.00,0.00,33.00
BARBARIAN_PRINCESS,ORC_HALBERDIER,1,1,a_win,10,9.00,27.00,0.00,33.00
BARBARIAN_PRINCESS,ORC_HALBERDIER,1,2,a_win,13,15.00,27.00,0.00,33.00
BARBARIAN_PRINCESS,ORC_HALBERDIER,1,3,a_win,12,13.00,27.00,0.00,33.00
BARBARIAN_PRINCESS,ORC_HALBERDIER,1,4,a_win,10,2.00,27.00,0.00,33.00
BARBARIAN_PRINCESS,ORC_PRESIDENT,1,0,b_win,9,0.00,27.00,50.00,53.00
BARBARIAN_PRINCESS,ORC_PRESIDENT,1,1,b_win,10,0.00,27.00,46.50,53.00
BARBARIAN_PRINCESS,ORC_PRESIDENT,1,2,b_win,14,0.00,27.00,46.50,53.00
BARBARIAN_PRINCESS,ORC_PRESIDENT,1,3,b_win,11,0.00,27.00,46.00,53.00
BARBARIAN_PRINCESS,ORC_PRESIDENT,1,4,b_win,11,0.00,27.00,45.00,53.00
BARBARIAN_PRINCESS,ORC_SNIPER,1,0,b_win,10,0.00,27.00,20.00,30.00
BARBARIAN_PRINCESS,ORC_SNIPER,1,1,b_win,9,0.00,27.00,23.00,30.00
BARBARIAN_PRINCESS,ORC_SNIPER,1,2,b_win,8,0.00,27.00,25.00,30.00
BARBARIAN_PRINCESS,ORC_SNIPER,1,3,b_win,9,0.00,27.00,25.00,30.00
BARBARIAN_PRINCESS,ORC_SNIPER,1,4,b_win,11,0.00,27.00,23.00,30.00
BARBARIAN_PRINCESS,PALUG,1,0,b_win,8,0.00,27.00,48.00,48.00
BARBARIAN_PRINCESS,PALUG,1,1,b_win,11,0.00,27.00,7.60,48.00
BARBARIAN_PRINCESS,PALUG,1,2,b_win,8,0.00,27.00,37.00,48.00
BARBARIAN_PRINCESS,PALUG,1,3,b_win,6,0.00,27.00,35.60,48.00
BARBARIAN_PRINCESS,PALUG,1,4,b_win,8,0.00,27.00,30.20,48.00
BARBARIAN_PRINCESS,PLAYER_MAGE,1,0,b_win,2,0.00,27.00,20.00,20.00
BARBARIAN_PRINCESS,PLAYER_MAGE,1,1,b_win,3,0.00,27.00,20.00,20.00
BARBARIAN_PRINCESS,PLAYER_MAGE,1,2,b_win,2,0.00,27.00,20.00,20.00
BARBARIAN_PRINCESS,PLAYER_MAGE,1,3,b_win,2,0.00,27.00,20.00,20.00
BARBARIAN_PRINCESS,PLAYER_MAGE,1,4,b_win,3,0.00,27.00,20.00,20.00
BARBARIAN_PRINCESS,PLAYER_ROGUE,1,0,b_win,2,0.00,27.00,21.00,21.00
BARBARIAN_PRINCESS,PLAYER_ROGUE,1,1,b_win,1,0.00,27.00,21.00,21.00
BARBARIAN_PRINCESS,PLAYER_ROGUE,1,2,b_win,5,0.00,27.00,21.00,21.00
BARBARIAN_PRINCESS,PLAYER_ROGUE,1,3,b_win,1,0.00,27.00,21.00,21.00
BARBARIAN_PRINCESS,PLAYER_ROGUE,1,4,b_win,2,0.00,27.00,21.00,21.00
BARBARIAN_PRINCESS,PLAYER_WARRIOR,1,0,b_win,14,0.00,27.00,25.00,25.00
BARBARIAN_PRINCESS,PLAYER_WARRIOR,1,1,b_win,8,0.00,27.00,25.00,25.00
BARBARIAN_PRINCESS,PLAYER_WARRIOR,1,2,b_win,8,0.00,27.00,25.00,25.00
BARBARIAN_PRINCESS,PLAYER_WARRIOR,1,3,b_win,8,0.00,27.00,25.00,25.00
BARBARIAN_PRINCESS,PLAYER_WARRIOR,1,4,b_win,5,0.00,27.00,25.00,25.00
BARBARIAN_PRINCESS,RAT,1,0,a_win,5,27.00,27.00,0.00,8.00
BARBARIAN_PRINCESS,RAT,1,1,a_win,6,24.00,27.00,0.00,8.00
BARBARIAN_PRINCESS,RAT,1,2,a_win,4,27.00,27.00,0.00,8.00
BARBARIAN_PRINCESS,RAT,1,3,a_win,4,27.00,27.00,0.00,8.00
BARBARIAN_PRINCESS,RAT,1,4,a_win,5,27.00,27.00,0.00,8.00
BARBARIAN_PRINCESS,RED_ANT,1,0,a_win,7,26.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,RED_ANT,1,1,a_win,7,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,RED_ANT,1,2,a_win,7,25.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,RED_ANT,1,3,a_win,6,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,RED_ANT,1,4,a_win,6,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,SOLDIER_BUG,1,0,a_win,7,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,SOLDIER_BUG,1,1,a_win,6,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,SOLDIER_BUG,1,2,a_win,8,26.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,SOLDIER_BUG,1,3,a_win,5,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,SOLDIER_BUG,1,4,a_win,10,26.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,SPIDER,1,0,a_win,5,23.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,SPIDER,1,1,a_win,5,24.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,SPIDER,1,2,a_win,6,17.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,SPIDER,1,3,a_win,4,27.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,SPIDER,1,4,a_win,5,24.00,27.00,0.00,6.00
BARBARIAN_PRINCESS,UNIQUE_BAT,1,0,a_win,6,22.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_BAT,1,1,a_win,9,18.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_BAT,1,2,a_win,6,21.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_BAT,1,3,a_win,8,18.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_BAT,1,4,a_win,10,7.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_BUG_PRODIGY,1,0,b_win,12,0.00,27.00,20.00,30.00
BARBARIAN_PRINCESS,UNIQUE_BUG_PRODIGY,1,1,b_win,13,0.00,27.00,3.00,30.00
BARBARIAN_PRINCESS,UNIQUE_BUG_PRODIGY,1,2,b_win,9,0.00,27.00,16.00,30.00
BARBARIAN_PRINCESS,UNIQUE_BUG_PRODIGY,1,3,b_win,9,0.00,27.00,18.00,30.00
BARBARIAN_PRINCESS,UNIQUE_BUG_PRODIGY,1,4,b_win,9,0.00,27.00,11.00,30.00
BARBARIAN_PRINCESS,UNIQUE_DEVELOPED_MASK_IMP,1,0,b_win,14,0.00,27.00,2.00,23.00
BARBARIAN_PRINCESS,UNIQUE_DEVELOPED_MASK_IMP,1,1,a_win,12,21.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_DEVELOPED_MASK_IMP,1,2,a_win,13,17.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_DEVELOPED_MASK_IMP,1,3,a_win,13,10.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_DEVELOPED_MASK_IMP,1,4,a_win,12,4.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_GHOST,1,0,a_win,15,4.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_GHOST,1,1,a_win,9,15.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_GHOST,1,2,a_win,9,11.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_GHOST,1,3,a_win,10,1.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_GHOST,1,4,b_win,12,0.00,27.00,3.00,23.00
BARBARIAN_PRINCESS,UNIQUE_HORRIBLE_MASK_IMP,1,0,b_win,15,0.00,27.00,27.00,38.00
BARBARIAN_PRINCESS,UNIQUE_HORRIBLE_MASK_IMP,1,1,b_win,13,0.00,27.00,20.00,38.00
BARBARIAN_PRINCESS,UNIQUE_HORRIBLE_MASK_IMP,1,2,b_win,11,0.00,27.00,35.00,38.00
BARBARIAN_PRINCESS,UNIQUE_HORRIBLE_MASK_IMP,1,3,b_win,14,0.00,27.00,19.00,38.00
BARBARIAN_PRINCESS,UNIQUE_HORRIBLE_MASK_IMP,1,4,b_win,9,0.00,27.00,33.00,38.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_CLEAVER,1,0,b_win,6,0.00,27.00,38.00,38.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_CLEAVER,1,1,b_win,5,0.00,27.00,38.00,38.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_CLEAVER,1,2,b_win,7,0.00,27.00,38.00,38.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_CLEAVER,1,3,b_win,10,0.00,27.00,25.00,38.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_CLEAVER,1,4,a_win,10,19.00,27.00,0.00,38.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_FIGHTER,1,0,b_win,10,0.00,27.00,13.00,30.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_FIGHTER,1,1,b_win,10,0.00,27.00,24.00,30.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_FIGHTER,1,2,b_win,18,0.00,27.00,8.00,30.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_FIGHTER,1,3,b_win,11,0.00,27.00,12.00,30.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_FIGHTER,1,4,b_win,15,0.00,27.00,10.00,30.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_GENERAL,1,0,b_win,10,0.00,27.00,16.00,33.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_GENERAL,1,1,b_win,9,0.00,27.00,10.00,33.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_GENERAL,1,2,b_win,14,0.00,27.00,2.00,33.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_GENERAL,1,3,b_win,12,0.00,27.00,10.00,33.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_GENERAL,1,4,a_win,13,11.00,27.00,0.00,33.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_SPEARMAN,1,0,b_win,11,0.00,27.00,5.00,23.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_SPEARMAN,1,1,a_win,9,9.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_SPEARMAN,1,2,a_win,7,14.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_SPEARMAN,1,3,a_win,11,8.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_KOBOLD_SPEARMAN,1,4,a_win,10,14.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_LARGE_MASK_IMP,1,0,a_win,16,18.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,UNIQUE_LARGE_MASK_IMP,1,1,a_win,17,16.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,UNIQUE_LARGE_MASK_IMP,1,2,a_win,7,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,UNIQUE_LARGE_MASK_IMP,1,3,a_win,8,27.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,UNIQUE_LARGE_MASK_IMP,1,4,a_win,8,25.00,27.00,0.00,15.00
BARBARIAN_PRINCESS,UNIQUE_LOATHESOME_BUG,1,0,a_win,9,9.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_LOATHESOME_BUG,1,1,a_win,5,25.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_LOATHESOME_BUG,1,2,a_win,8,15.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_LOATHESOME_BUG,1,3,a_win,6,27.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_LOATHESOME_BUG,1,4,a_win,5,19.00,27.00,0.00,9.00
BARBARIAN_PRINCESS,UNIQUE_MASK_IMP,1,0,a_win,8,18.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_MASK_IMP,1,1,a_win,7,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_MASK_IMP,1,2,a_win,8,23.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_MASK_IMP,1,3,a_win,9,23.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_MASK_IMP,1,4,a_win,8,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_RAT,1,0,b_win,7,0.00,27.00,2.00,14.00
BARBARIAN_PRINCESS,UNIQUE_RAT,1,1,a_win,8,8.00,27.00,0.00,14.00
BARBARIAN_PRINCESS,UNIQUE_RAT,1,2,a_win,11,13.00,27.00,0.00,14.00
BARBARIAN_PRINCESS,UNIQUE_RAT,1,3,a_win,6,12.00,27.00,0.00,14.00
BARBARIAN_PRINCESS,UNIQUE_RAT,1,4,a_win,6,22.00,27.00,0.00,14.00
BARBARIAN_PRINCESS,UNIQUE_SOLDIER_BUG,1,0,a_win,9,8.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_SOLDIER_BUG,1,1,a_win,14,7.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_SOLDIER_BUG,1,2,a_win,12,3.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_SOLDIER_BUG,1,3,a_win,18,9.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_SOLDIER_BUG,1,4,a_win,12,7.00,27.00,0.00,23.00
BARBARIAN_PRINCESS,UNIQUE_SPIDER,1,0,a_win,7,19.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_SPIDER,1,1,a_win,5,19.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_SPIDER,1,2,b_win,8,0.00,27.00,6.00,11.00
BARBARIAN_PRINCESS,UNIQUE_SPIDER,1,3,a_win,5,27.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,UNIQUE_SPIDER,1,4,a_win,6,13.00,27.00,0.00,11.00
BARBARIAN_PRINCESS,WOLF,1,0,a_win,9,6.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,WOLF,1,1,a_win,12,1.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,WOLF,1,2,a_win,6,27.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,WOLF,1,3,a_win,9,4.00,27.00,0.00,27.00
BARBARIAN_PRINCESS,WOLF,1,4,a_win,8,14.00,27.00,0.00,27.00
BAT,BLACK_ANT,1,0,b_win,23,0.00,5.00,6.00,11.00
BAT,BLACK_ANT,1,1,b_win,10,0.00,5.00,8.00,11.00
BAT,BLACK_ANT,1,2,b_win,7,0.00,5.00,9.00,11.00
BAT,BLACK_ANT,1,3,b_win,7,0.00,5.00,11.00,11.00
BAT,BLACK_ANT,1,4,b_win,12,0.00,5.00,8.00,11.00
BAT,BLAZING_FIREMOUSE,1,0,a_win,6,4.00,5.00,0.00,2.00
BAT,BLAZING_FIREMOUSE,1,1,a_win,5,4.00,5.00,0.00,2.00
BAT,BLAZING_FIREMOUSE,1,2,a_win,3,5.00,5.00,0.00,2.00
BAT,BLAZING_FIREMOUSE,1,3,a_win,12,3.00,5.00,0.00,2.00
BAT,BLAZING_FIREMOUSE,1,4,a_win,9,5.00,5.00,0.00,2.00
BAT,BLOB,1,0,b_win,17,0.00,5.00,40.50,42.00
BAT,BLOB,1,1,b_win,6,0.00,5.00,42.00,42.00
BAT,BLOB,1,2,b_win,5,0.00,5.00,41.50,42.00
BAT,BLOB,1,3,b_win,31,0.00,5.00,42.00,42.00
BAT,BLOB,1,4,b_win,5,0.00,5.00,42.00,42.00
BAT,BUG_PRODIGY,1,0,b_win,10,0.00,5.00,21.00,21.00
BAT,BUG_PRODIGY,1,1,b_win,4,0.00,5.00,21.00,21.00
